"Manufacturer","Model_Name","Category","Screen_Size","Screen","CPU","RAM","Storage","GPU","Operating_System","Operating_System_Version","Weight","Price_in_Euros","CPU_Mark","G3D_Mark"
"Dell","Inspiron 5770","Notebook","17.3""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows","10","2.8kg","1142,00","5954","947"
"Lenovo","IdeaPad 320-15ISK","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","Intel HD Graphics 520","No OS",,"2.2kg","444,00","2273","863"
"HP","ProBook 450","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","500GB HDD","Intel HD Graphics 620","Windows","10","2.1kg","722,00","5948","944"
"Dell","Vostro 3568","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows","10","2.18kg","657,00","3412","944"
"Dell","Inspiron 3567","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","AMD Radeon R5 M430","Windows","10","2.24kg","565,00","3412","649"
"Dell","Inspiron 5579","2 in 1 Convertible","15.6""","Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","2.67kg","799,00","5948","1038"
"Asus","ZenBook Flip","2 in 1 Convertible","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD +  512GB SSD","Intel UHD Graphics 620","Windows","10","1.1kg","1499,00","5954","1038"
"Lenovo","IdeaPad 320-15IKBN","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","No OS",,"2.2kg","467,00","3412","944"
"HP","Probook 470","Notebook","17.3""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","1TB HDD","Nvidia GeForce 930MX ","Windows","10","2.5kg","1018,00","5954","1309"
"Lenovo","V330-15IKB (i7-8550U/8GB/256GB/FHD/W10)","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","2.05kg","880,00","5954","1038"
"Apple","MacBook Pro","Ultrabook","13.3""","IPS Panel Retina Display 2560x1600","Intel Core i5 2.9GHz","8GB","512GB SSD","Intel Iris Graphics 550","Mac OS",,"1.37kg","1958,90","3298","1328"
"Asus","Rog Strix","Gaming","17.3""","Full HD 1920x1080","AMD Ryzen 1700 3GHz","16GB","256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows","10","3.2kg","1549,00","14678","8893"
"Dell","Inspiron 3576","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 520","Linux",,"2.14kg","735,07","5954","814"
"Lenovo","ThinkPad X1","2 in 1 Convertible","14.0""","Touchscreen 2560x1440","Intel Core i7 6600U 2.6GHz","16GB","512GB SSD","Intel HD Graphics 520","Windows","10","1.36kg","2499,00","3507","863"
"Toshiba","Satellite Pro","Notebook","15.6""","1366x768","Intel Core i7 6500U 2.5GHz","8GB","500GB HDD","Nvidia GeForce 930M","Windows","10","2.2kg","812,00","3276","1015"
"Dell","Inspiron 5567","Notebook","15.6""","1366x768","Intel Core i7 7500U 2.7GHz","12GB","1TB HDD","Intel HD Graphics 620","Windows","10","2.3kg","713,07","3650","944"
"Dell","Inspiron 5770","Notebook","17.3""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Linux",,"2.8kg","1099,00","5954","947"
"Acer","Aspire A515-51G","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","1TB HDD","Nvidia GeForce MX130","Windows","10","2.2kg","745,00","5954","1904"
"Lenovo","IdeaPad 320-17ISK","Notebook","17.3""","1600x900","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows","10","2.8kg","489,00","2273","863"
"Lenovo","IdeaPad 320-17IKBR","Notebook","17.3""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","2TB HDD","Nvidia GeForce MX150","No OS",,"2.8kg","849,00","5954","2138"
"Lenovo","IdeaPad 320-17IKB","Notebook","17.3""","1600x900","Intel Core i7 7500U 2.7GHz","6GB","128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows","10","2.8kg","859,00","3650","1510"
"Dell","Inspiron 3567","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2.0GHz","4GB","1TB HDD","AMD Radeon R5 M430","Linux",,"2.25kg","428,00","2273","649"
"Lenovo","Legion Y520-15IKBN","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows","10","2.5kg","829,00","5118","5103"
"Lenovo","Ideapad 320-15IKBN","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","6GB","256GB SSD","Intel HD Graphics 620","Windows","10","2.2kg","579,00","3412","944"
"Acer","Aspire A517-51G","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Nvidia GeForce MX150","Windows","10","3kg","951,00","5954","2138"
"Acer","SP315-51 (i7-7500U/12GB/1TB/FHD/W10)","Notebook","15.6""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i7 7500U 2.7GHz","12GB","1TB HDD","Intel HD Graphics 620","Windows","10","2.15kg","659,00","3650","944"
"Lenovo","Thinkpad T570","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 630","Windows","10","1.95kg","1097,00","3650","1128"
"Asus","VivoBook S15","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows","10","1.7kg","977,00","3412","1510"
"Lenovo","Legion Y520-15IKBN","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows","10","2.5kg","1179,00","6954","5919"
"Lenovo","IdeaPad 320-15IKB","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Nvidia GeForce 940MX","No OS",,"2.2kg","659,01","3650","1510"
"Acer","Chromebook C910-C2ST","Notebook","15.6""","1366x768","Intel Celeron Dual Core 3205U 1.5GHz","2GB","16GB SSD","Intel HD Graphics","Chrome OS",,"2.19kg","199,00","918","919"
"Asus","FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForc","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows","10","3kg","1187,00","6954","5103"
"HP","17-BS037cl (i3-6006U/8GB/1TB/W10)","Notebook","17.3""","1600x900","Intel Core i3 6006U 2GHz","8GB","1TB HDD","Intel HD Graphics 520","Windows","10","2.54kg","489,00","2273","863"
"Dell","XPS 15","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows","10","2kg","1829,00","6954","5103"
"Lenovo","V330-15IKB (i5-8250U/8GB/256GB/FHD/W10)","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","2.05kg","739,00","5948","1038"
"Lenovo","Legion Y720-15IKB","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1060","Windows","10","3.2kg","1299,00","6954","8161"
"Acer","Aspire A715-71G","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050 Ti","Linux",,"2.5kg","979,00","6954","5919"
"Dell","Precision 7720","Workstation","17.3""","Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz","16GB","256GB SSD","Nvidia Quadro M1200","Windows","10","3.42kg","2884,86","7171","3393"
"Lenovo","IdeaPad 310-15ABR","Notebook","15.6""","Full HD 1920x1080","AMD A10-Series 9600P 2.4GHz","6GB","1TB HDD","AMD Radeon R5 430","Windows","10","2.4kg","499,00","2217","930"
"Asus","ZenBook UX530UQ-PRO","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Nvidia GeForce 940MX","Windows","10","1.63kg","1468,00","3650","1510"
"Asus","VivoBook S14","Notebook","14.0""","1366x768","Intel Core i3 7100U 2.4GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows","10","1.3kg","509,00","2710","944"
"Asus","Rog GL702VS-GC095T","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows","10","2.9kg","2122,00","6954","10465"
"Lenovo","IdeaPad 320-17IKB","Notebook","17.3""","1600x900","Intel Core i5 7200U 2.5GHz","6GB","1TB HDD","Nvidia GeForce GTX 940M","Windows","10","2.8kg","649,00","3412","1102"
"Lenovo","IdeaPad 320-15IKBN","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","8GB","2TB HDD","Nvidia GeForce 940MX","No OS",,"2.2kg","549,00","3412","1510"
"Asus","GL553VE-FY082T (i7-7700HQ/8GB/1TB","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows","10","2.5kg","1265,00","6954","5919"
"Lenovo","IdeaPad 320-15IAP","Notebook","15.6""","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB HDD","Intel HD Graphics 505","No OS",,"2.2kg","359,99","2140","344"
"HP","EliteBook x360","2 in 1 Convertible","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i7 7600U 2.8GHz","16GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.28kg","1975,00","3638","944"
"Toshiba","Satellite Pro","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 930M","Windows","10","2.2kg","1043,00","3276","1015"
"Lenovo","IdeaPad 320-15IKB","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows","10","2.3kg","819,00","3412","1510"
"HP","250 G6","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows","10","1.86kg","469,00","2273","863"
"Lenovo","IdeaPad 720S-13IKB","Notebook","13.3""","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.1kg","999,00","3412","944"
"Dell","XPS 13","Ultrabook","13.3""","IPS Panel 4K Ultra HD / Touchscreen 3840","Intel Core i7 8550U 1.8GHz","16GB","1TB SSD","Intel UHD Graphics 620","Windows","10","1.21kg","2499,00","5954","1038"
"MSI","GE63VR 7RF","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows","10","2.8kg","2099,00","6954","10465"
"Acer","ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10)","Notebook","15.6""","Full HD 1920x1080","AMD A8-Series 7410 2.2GHz","8GB","256GB SSD","AMD Radeon R5","Windows","10","2.23kg","469,00","1803","575"
"Asus","VivoBook Flip","2 in 1 Convertible","11.6""","Touchscreen 1366x768","Intel Celeron Dual Core N3350 1.1GHz","2GB","32GB Flash Storage","Intel HD Graphics 500","Windows","10","1.1kg","275,00","1131","297"
"Dell","Inspiron 5570","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows","10","2.33kg","844,00","5948","947"
"HP","Spectre x360","2 in 1 Convertible","13.3""","IPS Panel 4K Ultra HD / Touchscreen 3840","Intel Core i7 8550U 1.8GHz","16GB","1TB SSD","Intel UHD Graphics 620","Windows","10","1.29kg","2449,00","5954","1038"
"Lenovo","ThinkPad 13","Notebook","13.3""","1366x768","Intel Celeron Dual Core 3855U 1.6GHz","4GB","16GB Flash Storage","Intel HD Graphics 510","Chrome OS",,"1.45kg","459,90","1259","619"
"HP","ProBook 640","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.95kg","980,00","3412","944"
"Acer","TravelMate B","Notebook","11.6""","1366x768","Intel Pentium Quad Core N3710 1.6GHz","4GB","128GB Flash Storage","Intel HD Graphics 405","Windows","10","1.4kg","485,00","1351","487"
"HP","Elitebook 840","Notebook","14.0""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.48kg","1292,00","3650","944"
"Lenovo","IdeaPad 320-17IKB","Notebook","17.3""","1600x900","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows","10","2.79kg","589,00","3412","1088"
"Asus","ZenBook UX410UA-GV183T","Notebook","14.0""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","2kg","1094,00","3650","944"
"HP","ProBook 450","Notebook","15.6""","IPS Panel Full HD 1366x768","Intel Core i7 8550U 1.8GHz","8GB","1TB HDD","Intel UHD Graphics 620","Windows","10","2.1kg","902,00","5954","1038"
"Acer","Aspire 5","Notebook","15.6""","1366x768","AMD A12-Series 9720P 2.7GHz","8GB","256GB SSD","AMD Radeon RX 540","Windows","10","2.2kg","659,00","2605","1825"
"Lenovo","IdeaPad 120S-14IAP","Notebook","14.0""","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows","10","1.44kg","292,00","1131","297"
"Acer","Aspire E5-575","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","6GB","1TB HDD","Intel HD Graphics 620","Windows","10","2.23kg","549,00","3412","944"
"Asus","VivoBook S15","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows","10","1.7kg","1049,90","3650","1510"
"HP","Elitebook 820","Ultrabook","12.5""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.26kg","1335,00","3650","944"
"Dell","XPS 15","Notebook","15.6""","4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","32GB","1TB SSD","Nvidia GeForce GTX 1050","Windows","10","2.06kg","2639,00","6954","5103"
"MSI","GL72M 7REX","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows","10","2.7kg","1199,00","6954","5919"
"Toshiba","Satellite Pro","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","2.0kg","943,00","3412","944"
"Asus","UX510UX-CN269T (i7-7500U/8GB/256GB","Notebook","14.0""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD +  1TB HDD","Intel HD Graphics 620","Windows","10","2kg","1334,00","3650","944"
"Lenovo","V310-15ISK (i3-6006U/4GB/1TB/FHD/W10)","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows","10","1.85kg","449,00","2273","863"
"Asus","FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeFo","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows","10","2.5kg","999,00","6954","5103"
"HP","EliteBook 840","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.48kg","1268,00","3735","944"
"Dell","Inspiron 7570","Ultrabook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows","10","1.9kg","1049,00","5948","1510"
"HP","Elitebook 850","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.84kg","1144,00","3412","944"
"Asus","X541NA (N3350/4GB/1TB/Linux)","Notebook","15.6""","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","Linux",,"2kg","274,99","1131","297"
"Dell","Inspiron 7570","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows","10","2kg","1142,75","5948","1510"
"Dell","Inspiron 3552","Notebook","15.6""","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","500GB HDD","Intel HD Graphics","Linux",,"2.2kg","274,90","660","919"
"Lenovo","IdeaPad 320-15ABR","Notebook","15.6""","Full HD 1920x1080","AMD A12-Series 9720P 3.6GHz","12GB","2TB HDD","AMD Radeon 530","Windows","10","2.2kg","899,00","2605","947"
"HP","ProBook 450","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","8GB","1TB HDD","Nvidia GeForce 930MX ","Windows","10","2.1kg","716,00","2710","1309"
"Lenovo","Yoga 920-13IKB","2 in 1 Convertible","13.9""","IPS Panel 4K Ultra HD / Touchscreen 3840","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows","10","1.4kg","2099,00","5954","1038"
"Dell","XPS 13","Ultrabook","13.3""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.2kg","1579,00","5954","1038"
"Lenovo","Legion Y520-15IKBN","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  2TB HDD","Nvidia GeForce GTX 1050 Ti","Windows","10","2.4kg","1129,00","6954","5919"
"HP","Stream 14-AX001nv","Notebook","14.0""","1366x768","Intel Celeron Dual Core N3060 1.6GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Windows","10","1.44kg","279,00","660","452"
"Dell","Latitude 5590","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 8650U 1.9GHz","16GB","512GB SSD +  256GB SSD","Intel UHD Graphics 620","Windows","10","1.88kg","1607,96","6417","1038"
"Asus","VivoBook Flip","2 in 1 Convertible","11.6""","Touchscreen 1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows","10","1.5kg","375,00","1131","297"
"Dell","Inspiron 5570","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","AMD Radeon 530","Windows","10","1.9kg","663,00","5948","947"
"Dell","XPS 15","Notebook","15.6""","4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050","Windows","10","2.06kg","2027,42","6954","5103"
"HP","Elitebook 850","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.84kg","1304,00","3650","944"
"MSI","GP72MVR 7RFX","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","2.7kg","1409,00","6954","8161"
"HP","Zbook 15","Workstation","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia Quadro M1200","Windows","10","2.6kg","1738,27","6954","3393"
"Toshiba","Tecra A50-C-21G","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Nvidia GeForce 930M","Windows","10","2.4kg","1403,00","3276","1015"
"Dell","Inspiron 5570","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","128GB SSD +  2TB HDD","AMD Radeon 530","Windows","10","2.02kg","970,90","5954","947"
"Lenovo","IdeaPad 320-15IAP","Notebook","15.6""","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","No OS",,"2.2kg","321,99","1131","297"
"Dell","Inspiron 7577","Gaming","15.6""","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.65kg","999,00","5118","5103"
"Dell","Inspiron 3567","Notebook","15.6""","Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz","8GB","2TB HDD","Intel HD Graphics 620","Windows","10","2.36kg","557,37","3412","944"
"Dell","Latitude 7480","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.36kg","1427,00","3735","944"
"HP","250 G6","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","10","1.86kg","439,00","2273","863"
"Asus","Zenbook UX410UA-GV027T","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","2kg","945,00","3412","944"
"Lenovo","IdeaPad 320-17IKB","Notebook","17.3""","1600x900","Intel Core i5 7200U 2.5GHz","6GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 940MX","Windows","10","2.8kg","719,00","3412","1510"
"HP","250 G6","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Intel HD Graphics 620","Windows","10","1.86kg","639,00","3412","944"
"Lenovo","IdeaPad 320-15ISK","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","8GB","256GB SSD","Nvidia GeForce 920MX ","No OS",,"2.2kg","499,00","2273","1088"
"HP","15-AY023na (N3710/8GB/2TB/W10)","Notebook","15.6""","1366x768","Intel Pentium Quad Core N3710 1.6GHz","8GB","2TB HDD","Intel HD Graphics 405","Windows","10","2.04kg","389,00","1351","487"
"Dell","Inspiron 5770","Notebook","17.3""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows","10","2.8kg","1085,00","5948","947"
"Lenovo","Legion Y520-15IKBN","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","No OS",,"2.4kg","809,00","5118","5103"
"Dell","Inspiron 5567","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon R7 M445","Windows","10","2.33kg","899,00","3650","911"
"HP","Elitebook 1040","Ultrabook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.36kg","1750,00","3650","944"
"Asus","ZenBook Flip","2 in 1 Convertible","15.6""","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","12GB","512GB SSD +  2TB HDD","Nvidia GeForce GT 940MX","Windows","10","2.26kg","1099,00","3650","1510"
"Acer","Aspire 3","Notebook","15.6""","1366x768","AMD A9-Series 9420 3GHz","4GB","128GB SSD","AMD Radeon R5","Windows","10","2.1kg","426,00","1542","575"
"Asus","Rog Strix","Gaming","17.3""","IPS Panel Full HD 1920x1080","AMD Ryzen 1700 3GHz","16GB","256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows","10","3.25kg","2199,00","14678","8893"
"Lenovo","IdeaPad 110-17ACL","Notebook","17.3""","1600x900","AMD A8-Series 7410 2.2GHz","4GB","128GB SSD","AMD Radeon R5","Windows","10","2.6kg","489,00","1803","575"
"Dell","Inspiron 5379","2 in 1 Convertible","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.62kg","869,01","5954","1038"
"HP","15-bw003nv (A9-Series-9420/4GB/256GB/FHD","Notebook","15.6""","Full HD 1920x1080","AMD A9-Series 9420 3GHz","4GB","256GB SSD","AMD Radeon R5","Windows","10","1.91kg","488,99","1542","575"
"Lenovo","Yoga 11e","Netbook","11.6""","IPS Panel 1366x768","Intel Celeron Quad Core N3450 1.1GHz","4GB","128GB SSD","Intel HD Graphics 500","Windows","10","1.59kg","553,00","1929","297"
"Dell","Inspiron 3552","Notebook","15.6""","1366x768","Intel Celeron Dual Core N3060 1.60GHz","4GB","500GB HDD","Intel HD Graphics 400","Windows","10","1.8kg","309,00","660","452"
"Asus","VivoBook E403NA","Notebook","14.0""","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows","10","1.5kg","286,00","1131","297"
"Acer","Aspire 7","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Linux",,"2.4kg","846,00","6954","5103"
"HP","Omen 17-w212nv","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows","10","3.35kg","1191,00","6954","5103"
"Lenovo","V310-15ISK (i3-6006U/4GB/128GB/FHD/No","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","No OS",,"1.85kg","403,50","2273","863"
"Asus","ROG Strix","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","2.3kg","1655,00","6954","8161"
"Lenovo","IdeaPad 720S-14IKB","Notebook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows","10","1.5kg","1099,00","3412","1510"
"Asus","Zenbook Flip","Ultrabook","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows","10","1.1kg","1748,90","3650","944"
"Lenovo","Thinkpad X1","Ultrabook","14.0""","IPS Panel 2560x1440","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows","10","1.13kg","2282,00","3650","944"
"Lenovo","Ideapad 510S-13IKB","Notebook","13.3""","IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows","10","1.5kg","549,00","2710","944"
"Dell","Precision 3510","Workstation","15.6""","Full HD 1920x1080","Intel Core i5 6440HQ 2.6GHz","8GB","500GB HDD","AMD FirePro W5130M","Windows","10","2.23kg","1369,00","5141","1348"
